Frequency (Hz),RL Value (dB),Material 1,Material 2,Material 3
8000000000.0,-2.1548241292665695,11.0,5.0,7.0
8100000000.0,-1.6869546960292312,7.0,11.0,5.0
8200000000.0,-1.4719830091551147,7.0,11.0,5.0
8300000000.0,-1.3402480154529481,13.0,11.0,5.0
8400000000.0,-1.2452069930957352,13.0,11.0,5.0
8500000000.0,-1.1720951993213367,13.0,11.0,5.0
8600000000.0,-1.1137558949886557,13.0,11.0,5.0
8700000000.0,-1.0659196864823735,13.0,11.0,5.0
8800000000.0,-1.025859430868348,13.0,11.0,5.0
8900000000.0,-0.9917406448481602,13.0,11.0,5.0
9000000000.0,-0.96227815340288,13.0,11.0,5.0
9100000000.0,-0.9365415734613374,13.0,11.0,5.0
9200000000.0,-0.9138388686154543,13.0,11.0,5.0
9300000000.0,-0.893643431272376,13.0,11.0,5.0
9400000000.0,-0.8755466771558401,13.0,11.0,5.0
9500000000.0,-0.859226231598317,13.0,11.0,5.0
9600000000.0,-0.8446777570721115,8.0,11.0,5.0
9700000000.0,-0.8320107517328479,8.0,11.0,5.0
9800000000.0,-0.8204141975365113,8.0,11.0,5.0
9900000000.0,-0.8097538559290673,8.0,11.0,5.0
10000000000.0,-0.7999174670970816,8.0,11.0,5.0
10100000000.0,-0.7908103691608259,8.0,11.0,5.0
10200000000.0,-0.7823521349670295,8.0,11.0,5.0
10300000000.0,-0.7744739590334649,8.0,11.0,5.0
10400000000.0,-0.767116605063109,8.0,11.0,5.0
10500000000.0,-0.7602287775924421,8.0,11.0,5.0
10600000000.0,-0.7537658182191409,8.0,11.0,5.0
10700000000.0,-0.7476886528373898,8.0,11.0,5.0
10800000000.0,-0.7419629348718917,8.0,11.0,5.0
10900000000.0,-0.7365583429336736,8.0,11.0,5.0
11000000000.0,-0.7314480011570884,8.0,11.0,5.0
11100000000.0,-0.7267791298667725,2.0,11.0,5.0
11200000000.0,-0.7226726351841368,2.0,11.0,5.0
11300000000.0,-0.7187706903273577,2.0,11.0,5.0
11400000000.0,-0.7150580326805099,2.0,11.0,5.0
11500000000.0,-0.7115209060130814,2.0,11.0,5.0
11600000000.0,-0.7081468768987762,2.0,11.0,5.0
11700000000.0,-0.7049246775817872,2.0,11.0,5.0
11800000000.0,-0.7018440709192635,2.0,11.0,5.0
11900000000.0,-0.6988957338396249,2.0,11.0,5.0
12000000000.0,-0.6960711564015698,2.0,11.0,5.0
