M,E,U,T
0.0,567.0,17.999999999999993,0.03
1.0,409.0,6.999999999999997,0.03
2.0,490.0,17.999999999999993,0.03
3.0,536.0,12.999999999999995,0.03
4.0,511.0,9.999999999999996,0.03
5.0,559.0,27.00000000000001,0.03
6.0,555.0,19.99999999999998,0.03
7.0,530.0,17.000000000000007,0.03
8.0,624.0,21.99999999999997,0.03
9.0,529.0,5.999999999999997,0.03
10.0,540.0,14.0,0.03
11.0,543.0,23.999999999999964,0.03
12.0,589.0,14.0,0.03
13.0,415.0,12.999999999999995,0.03
14.0,435.0,15.000000000000005,0.03
15.0,486.0,14.0,0.03
